year,region_id,Region_name,ons_code,road_category_id,road_category_name,total_link_length_km,total_link_length_miles,all_motor_vehicles
1999,11,North East,E12000001,3,TA,437.5,271.85,2342366657
1999,11,North East,E12000001,4,PA,1318.3,819.15,3460748005
1999,11,North East,E12000001,5,M,14203,8825.34,5068239589
2000,1,South West,E12000009,1,TM,326.8,203.06,4521099474
2000,1,South West,E12000009,3,TA,999.3,620.94,4132628375
2000,1,South West,E12000009,4,PA,3927.1,2440.19,8633699033
2000,1,South West,E12000009,5,M,44129.5,27420.8,10069256223
2000,2,East Midlands,E12000004,1,TM,193.7,120.36,3730184955
2000,2,East Midlands,E12000004,3,TA,1210.8,752.36,5582205508
2000,2,East Midlands,E12000004,4,PA,2624.66,1630.89,6220316121
2000,2,East Midlands,E12000004,5,M,27074.3,16823.19,7784910270
2000,3,Scotland,S92000003,1,TM,385.29,239.41,3358286173
2000,3,Scotland,S92000003,3,TA,2811.97,1747.28,5543297877
2000,3,Scotland,S92000003,4,PA,7482.01,4649.11,7185207573
2000,3,Scotland,S92000003,5,M,48552.8,30169.31,8344977797
2000,4,Wales,W92000004,1,TM,141.3,87.8,1746195956
2000,4,Wales,W92000004,3,TA,1539.5,956.6,3522626751
2000,4,Wales,W92000004,4,PA,2607.29,1620.09,4399246745
2000,4,Wales,W92000004,5,M,28664.9,17811.54,5702553649
2000,5,North West,E12000002,1,TM,600.2,372.95,9294708345
2000,5,North West,E12000002,2,PM,23.7,14.73,217057446.4
2000,5,North West,E12000002,3,TA,826.83,513.77,3012841156
2000,5,North West,E12000002,4,PA,3168.28,1968.68,9079724138
2000,5,North West,E12000002,5,M,31911.4,19828.82,10921472077
2000,6,London,E12000007,1,TM,65.6,40.76,1475750000
2000,6,London,E12000007,3,TA,319.2,198.34,4150315791
2000,6,London,E12000007,4,PA,1396,867.43,7234092467
2000,6,London,E12000007,5,M,12823,7967.84,7428197699
2000,7,East of England,E12000006,1,TM,263.3,163.61,4855736908
2000,7,East of England,E12000006,3,TA,1138.47,707.41,6796380902
2000,7,East of England,E12000006,4,PA,2755.43,1712.14,8325032144
2000,7,East of England,E12000006,5,M,35065.2,21788.51,12049363018
2000,8,Yorkshire and the Humber,E12000003,1,TM,361.8,224.81,5021824250
2000,8,Yorkshire and the Humber,E12000003,2,PM,3.5,2.17,53467992.8
2000,8,Yorkshire and the Humber,E12000003,3,TA,702.95,436.79,3323205276
2000,8,Yorkshire and the Humber,E12000003,4,PA,2602.23,1616.95,6958946291
2000,8,Yorkshire and the Humber,E12000003,5,M,27904.6,17339.11,8536007251
2000,9,South East,E12000008,1,TM,644.4,400.41,12938510974
2000,9,South East,E12000008,2,PM,10.6,6.59,167622029.7
2000,9,South East,E12000008,3,TA,875.6,544.07,6587285531
2000,9,South East,E12000008,4,PA,4330.38,2690.77,14313142404
2000,9,South East,E12000008,5,M,41449.5,25755.53,16671724027
2000,10,West Midlands,E12000005,1,TM,381.7,237.18,6805691385
2000,10,West Midlands,E12000005,2,PM,4.3,2.67,82578081.38
2000,10,West Midlands,E12000005,3,TA,838.7,521.14,3640144958
2000,10,West Midlands,E12000005,4,PA,2694.69,1674.4,7138157902
2000,10,West Midlands,E12000005,5,M,28355.3,17619.17,10680300998
2000,11,North East,E12000001,1,TM,55.6,34.55,585973313
2000,11,North East,E12000001,2,PM,2.4,1.49,33739442.41
2000,11,North East,E12000001,3,TA,437.5,271.85,2323134571
2000,11,North East,E12000001,4,PA,1319.8,820.09,3439082977
2000,11,North East,E12000001,5,M,14232.4,8843.6,4932690783
2001,1,South West,E12000009,1,TM,326.8,203.06,4722110400
2001,1,South West,E12000009,3,TA,999.5,621.06,4287689028
2001,1,South West,E12000009,4,PA,3927.1,2440.19,8766209827
2001,1,South West,E12000009,5,M,44208.5,27469.89,10286319379
2001,2,East Midlands,E12000004,1,TM,193.7,120.36,3854847294
2001,2,East Midlands,E12000004,3,TA,1210.8,752.36,5751062368
2001,2,East Midlands,E12000004,4,PA,2624.26,1630.64,6263348517
2001,2,East Midlands,E12000004,5,M,27126.5,16855.63,7905126899
2001,3,Scotland,S92000003,1,TM,386.49,240.15,3459315929
2001,3,Scotland,S92000003,3,TA,2811.97,1747.28,5677180662
2001,3,Scotland,S92000003,4,PA,7482.01,4649.11,7204936529
2001,3,Scotland,S92000003,5,M,48637.3,30221.82,8407168093
2001,4,Wales,W92000004,1,TM,141.3,87.8,1825398501
2001,4,Wales,W92000004,3,TA,1546.6,961.01,3590950578
2001,4,Wales,W92000004,4,PA,2631.39,1635.07,4442729288
2001,4,Wales,W92000004,5,M,28714,17842.05,5670377777
2001,5,North West,E12000002,1,TM,615.5,382.45,9770751770
2001,5,North West,E12000002,2,PM,24.1,14.98,233056712.5
